,osobni automobili,vlakovi,teretna vozila,autobusi,plovila,zrakoplovi,UKUPNO
2020-07-27,44646,18,6813,124,151,65,51817
2020-07-28,33575,16,7071,133,116,88,40999
2020-07-29,35764,25,6673,210,96,90,42858
2020-07-30,46300,19,5320,192,134,94,52059
2020-07-31,54306,18,4946,187,163,76,59696
2020-08-01,70665,21,2471,342,371,205,74075
2020-08-02,58779,15,2469,258,199,108,61828
2020-08-03,47823,27,6028,168,79,88,54213
2020-08-04,39406,18,6454,157,63,79,46177
2020-08-05,39937,24,5344,214,75,108,45702
2020-08-06,44486,25,6281,220,162,113,51287
2020-08-07,55598,27,3985,231,216,144,60201
2020-08-08,68301,21,2605,324,332,191,71774
2020-08-09,58489,17,2321,254,421,154,61656
2020-08-10,51338,18,5713,144,279,105,57597
2020-08-11,38844,18,6030,151,208,99,45350
2020-08-12,42063,18,6083,223,137,105,48629
2020-08-13,47027,32,5468,196,105,115,52943
2020-08-14,58768,16,4834,236,78,123,64055
2020-08-15,66125,19,1490,339,58,190,68221
2020-08-16,51031,16,2204,253,75,158,53737
2020-08-17,41443,23,6115,250,51,88,47970
2020-08-18,32564,22,6105,132,29,79,38931
2020-08-19,35164,19,5847,229,46,115,41420
2020-08-20,36353,18,5371,229,41,104,42116
2020-08-21,35482,19,4749,256,23,111,40640
2020-08-22,45267,21,2640,338,41,166,48473
2020-08-23,35946,15,2276,228,27,137,38629
2020-08-24,27869,17,5707,209,32,83,33917
2020-08-25,23186,21,6730,127,26,91,30181
2020-08-26,24947,19,6872,195,16,81,32130
2020-08-27,26699,18,5895,200,27,90,32929
2020-08-28,31739,21,4787,224,26,78,36875
2020-08-29,34120,18,3087,288,17,148,37678
2020-08-30,28309,19,2394,225,12,122,31081
2020-08-31,23541,20,6205,135,18,56,29975
2020-09-01,21359,21,6169,153,18,50,27770
2020-09-02,20129,19,6725,186,22,54,27135
2020-09-03,21288,24,6296,169,32,78,27887
2020-09-04,28714,23,5262,183,32,73,34287
2020-09-05,30383,16,3316,274,40,107,34136
2020-09-06,26127,18,2331,225,16,89,28806
2020-09-07,20437,18,6435,136,30,49,27105
2020-09-08,18256,22,6372,155,16,53,24874
2020-09-09,19031,21,6818,208,25,29,26132
2020-09-10,21333,24,6731,187,26,45,28346
2020-09-11,28122,20,5598,186,31,53,34010
2020-09-12,28883,19,3107,282,38,105,32434
2020-09-13,25670,15,2626,200,16,60,28587
2020-09-14,19497,24,6268,143,20,36,25988
2020-09-15,18115,23,6899,134,21,43,25235
2020-09-16,19153,27,6502,202,21,34,25939
2020-09-17,19606,22,7151,155,19,32,26985
2020-09-18,27074,21,5796,168,13,59,33131
2020-09-19,22753,16,3107,257,27,97,26257
2020-09-20,22410,16,2611,186,15,60,25298
2020-09-21,17314,27,6300,127,25,14,23807
2020-09-22,15958,22,7377,121,13,27,23518
2020-09-23,15179,24,6994,173,13,30,22413
2020-09-24,17324,23,6614,170,15,26,24172
2020-09-25,22270,23,5484,164,7,22,27970
2020-09-26,19006,15,3748,243,11,67,23090
2020-09-27,19635,15,2667,197,6,45,22565
2020-09-28,16087,24,6798,117,8,14,23048
2020-09-29,17186,24,7228,141,13,21,24613
2020-09-30,18499,19,7193,202,26,25,25964
2020-10-01,19541,22,7304,165,23,21,27076
2020-10-02,27001,20,6508,172,15,16,33732
2020-10-03,24199,17,3371,231,11,38,27867
2020-10-04,23461,14,2541,228,6,32,26282
2020-10-05,19152,23,7012,131,16,15,26349
2020-10-06,17454,18,7782,141,28,10,25433
2020-10-07,18130,22,7310,189,13,10,25674
2020-10-08,21427,20,7099,180,12,20,28758
2020-10-09,31210,24,6435,170,12,13,37864
2020-10-10,25641,22,3032,233,22,36,28986
2020-10-11,25946,21,2620,277,9,16,28889
2020-10-12,18140,23,6959,121,15,12,25270
2020-10-13,17328,19,6951,133,9,9,24449
2020-10-14,17373,22,7104,188,16,12,24715
2020-10-15,19411,19,6988,190,7,10,26625
2020-10-16,27069,21,6556,215,19,25,33905
2020-10-17,23362,18,3575,239,16,27,27237
2020-10-18,24306,16,2794,242,19,29,27406
2020-10-19,18585,20,6594,132,15,13,25359
2020-10-20,14947,24,7680,131,16,11,22809
2020-10-21,15654,21,7246,195,12,21,23149
2020-10-22,19322,24,6770,176,16,20,26328
2020-10-23,26250,15,6225,182,14,12,32698
2020-10-24,19625,18,4228,220,11,37,24139
2020-10-25,19253,12,2551,203,7,10,22036
2020-10-26,17889,24,6785,134,12,5,24849
2020-10-27,13906,23,7302,124,10,3,21368
2020-10-28,14287,24,7746,165,9,11,22242
2020-10-29,15514,21,7069,181,11,5,22801
2020-10-30,21649,26,5674,158,10,16,27533
2020-10-31,17641,21,3162,222,16,13,21075
2020-11-01,18321,20,2889,205,5,10,21450
2020-11-02,16268,21,6949,129,14,6,23387
2020-11-03,13133,19,6664,125,11,2,19954
2020-11-04,14265,19,7087,168,16,8,21563
2020-11-05,14076,20,7067,166,12,11,21352
2020-11-06,19706,21,6838,123,13,13,26714
2020-11-07,15021,17,3804,188,8,16,19054
2020-11-08,15979,10,2800,178,6,3,18976
2020-11-09,13410,21,6958,101,12,4,20506
2020-11-10,12448,22,7373,107,5,6,19961
2020-11-11,12720,18,7873,144,11,6,20772
2020-11-12,14657,22,7252,164,8,8,22111
2020-11-13,20905,20,6743,150,17,10,27845
2020-11-14,13850,17,3654,186,10,11,17728
2020-11-15,16641,13,2543,161,7,6,19371
2020-11-16,12230,17,6747,86,15,6,19101
2020-11-17,11021,19,6991,89,10,12,18142
2020-11-18,10080,16,6244,150,8,8,16506
2020-11-19,12931,16,6393,132,12,3,19487
2020-11-20,14662,18,6119,124,13,5,20941
2020-11-21,11051,11,4124,163,6,7,15362
2020-11-22,11127,13,2766,150,6,14,14076
2020-11-23,11914,17,6538,83,14,20,18586
2020-11-24,11364,17,7371,102,13,2,18869
2020-11-25,13218,16,6639,122,15,9,20019
2020-11-26,11994,15,7016,131,15,6,19177
2020-11-27,15567,17,6091,123,10,4,21812
2020-11-28,10960,16,3743,166,11,2,14898
2020-11-29,11120,14,2785,143,4,3,14069
2020-11-30,12368,20,6807,85,10,4,19294
2020-12-01,8759,22,7117,93,14,7,16012
2020-12-02,7531,15,6597,134,3,5,14285
2020-12-03,8093,15,6304,138,9,1,14560
2020-12-04,10850,15,6164,124,8,6,17167
2020-12-05,7253,13,3221,173,1,1,10662
2020-12-06,7899,11,2688,154,2,2,10756
2020-12-07,8985,15,6432,86,16,7,15541
2020-12-08,8775,16,6342,98,11,2,15244
2020-12-09,8347,14,7271,159,8,6,15805
2020-12-10,9691,15,6253,139,8,4,16110
2020-12-11,12483,21,6152,127,13,8,18804
2020-12-12,9133,17,3820,176,11,4,13161
2020-12-13,8940,16,2842,169,5,5,11977
2020-12-14,9210,15,6780,91,8,6,16110
2020-12-15,9336,19,7153,107,9,2,16626
2020-12-16,10841,21,7475,197,13,7,18554
2020-12-17,13396,24,7425,360,15,2,21222
2020-12-18,20554,25,6580,181,7,6,27353
2020-12-19,23548,16,3583,439,6,3,27595
2020-12-20,13577,16,3343,277,5,8,17226
2020-12-21,11083,22,6500,135,16,3,17759
2020-12-22,12208,20,4233,153,8,2,16624
2020-12-23,19568,18,5812,207,14,6,25625
2020-12-24,16782,10,2985,179,12,0,19968
2020-12-25,11073,9,1411,123,5,3,12624
2020-12-26,6144,10,1468,145,3,1,7771
2020-12-27,7215,14,2013,142,4,5,9393
2020-12-28,8307,17,3437,84,5,3,11853
2020-12-29,9742,13,3454,104,4,1,13318
2020-12-30,12005,19,2863,131,8,3,15029
2020-12-31,9380,14,1232,65,8,1,10700
2021-01-01,10293,13,620,39,3,0,10968
2021-01-02,14257,13,1006,175,10,4,15465
2021-01-03,15748,16,1820,179,8,5,17776
2021-01-04,14463,17,3526,132,3,3,18144
2021-01-05,13467,20,3341,122,7,1,16958
2021-01-06,11642,20,2158,219,6,3,14048
2021-01-07,12268,14,3168,173,7,2,15632
2021-01-08,17634,21,3884,147,9,7,21702
2021-01-09,15230,19,2736,238,6,1,18230
2021-01-10,17820,12,2531,276,3,9,20651
2021-01-11,12616,20,5041,133,7,4,17821
2021-01-12,10335,10,6185,113,6,4,16653
2021-01-13,9726,20,6392,181,11,3,16333
2021-01-14,9891,20,5855,160,5,3,15934
2021-01-15,11486,18,4933,139,16,6,16598
2021-01-16,9729,18,3023,198,9,1,12978
2021-01-17,9445,15,2603,212,7,3,12285
2021-01-18,9105,18,5812,103,8,3,15049
2021-01-19,9521,17,6338,97,13,5,15991
2021-01-20,9135,21,6498,170,10,4,15838
2021-01-21,11538,19,5738,155,9,0,17459
2021-01-22,11696,17,5622,140,5,2,17482
2021-01-23,10550,13,3151,184,8,0,13906
2021-01-24,10919,17,2652,188,9,2,13787
2021-01-25,10504,17,5773,95,11,3,16403
2021-01-26,9541,22,6547,96,7,1,16214
2021-01-27,10249,21,6716,158,11,5,17160
2021-01-28,10909,18,6127,166,5,6,17231
2021-01-29,13351,22,5263,123,5,5,18769
2021-01-30,10682,14,3030,174,6,2,13908
2021-01-31,9920,15,2734,174,6,3,12852
2021-02-01,10026,21,5854,103,9,5,16018
2021-02-02,10514,18,6620,99,5,0,17256
2021-02-03,10088,19,6370,148,5,12,16642
2021-02-04,11174,22,6143,180,7,2,17528
2021-02-05,14629,18,5309,144,11,7,20118
2021-02-06,11452,11,3291,163,15,2,14934
2021-02-07,10737,15,2676,177,2,4,13611
2021-02-08,12691,16,5094,89,10,3,17903
2021-02-09,10944,19,7090,92,2,0,18147
2021-02-10,10878,21,6589,168,9,2,17667
2021-02-11,11783,18,5913,180,8,4,17906
2021-02-12,15383,17,5114,132,6,6,20658
2021-02-13,11500,17,3259,177,2,2,14957
2021-02-14,11620,13,2646,154,6,3,14442
2021-02-15,11817,20,6696,101,9,9,18652
2021-02-16,11292,17,6584,90,10,2,17995
2021-02-17,11183,22,6071,174,10,4,17464
2021-02-18,12168,17,6328,175,21,3,18712
2021-02-19,18192,21,5677,147,7,5,24049
2021-02-20,13577,14,3832,178,9,6,17616
2021-02-21,14777,13,3566,186,7,4,18553
2021-02-22,13506,13,7008,109,5,8,20649
2021-02-23,11534,20,7173,89,8,0,18824
2021-02-24,12226,16,7152,163,9,7,19573
2021-02-25,14272,22,7026,166,6,8,21500
2021-02-26,17703,21,5919,158,9,10,23820
2021-02-27,14052,14,3642,193,8,3,17912
2021-02-28,15331,15,2962,169,5,6,18488
2021-03-01,14562,21,6825,110,10,8,21536
2021-03-02,12736,18,6828,104,11,7,19704
2021-03-03,12585,19,7231,193,7,9,20044
2021-03-04,14428,19,7225,158,12,5,21847
2021-03-05,16422,17,5251,123,14,8,21835
2021-03-06,13233,11,3165,202,4,2,16617
2021-03-07,15300,11,2874,188,5,7,18385
2021-03-08,12381,22,7318,95,10,10,19836
2021-03-09,11742,14,7692,111,9,1,19569
2021-03-10,13496,19,6915,166,13,10,20619
2021-03-11,11056,20,6252,137,19,13,17497
2021-03-12,15193,23,5694,113,11,11,21045
2021-03-13,10416,13,3542,140,16,9,14136
2021-03-14,10248,9,2034,129,10,5,12435
2021-03-15,11044,18,5818,110,9,4,17003
2021-03-16,11692,18,7498,97,11,8,19324
2021-03-17,11616,19,7392,166,8,12,19213
2021-03-18,12998,21,6957,160,7,5,20148
2021-03-19,17893,19,6194,142,10,15,24273
2021-03-20,12204,12,3832,205,15,5,16273
2021-03-21,13621,14,2797,183,6,8,16629
2021-03-22,12571,25,6656,110,4,6,19372
2021-03-23,11045,20,7302,106,8,7,18488
2021-03-24,12658,22,7323,164,10,11,20188
2021-03-25,13665,16,7379,194,4,13,21271
2021-03-26,21633,18,6454,140,11,10,28266
2021-03-27,20771,13,3828,221,15,15,24863
2021-03-28,15273,10,3135,175,12,13,18618
2021-03-29,12496,24,6873,111,17,29,19550
2021-03-30,14360,20,7225,109,14,13,21741
2021-03-31,17387,19,7158,162,22,18,24766
2021-04-01,20186,19,7047,179,10,26,27467
2021-04-02,22354,21,4906,159,20,20,27480
2021-04-03,13144,18,2240,175,8,16,15601
2021-04-04,12470,13,1365,149,7,11,14015
2021-04-05,18022,13,3547,332,3,18,21935
2021-04-06,14781,18,6332,129,7,6,21273
2021-04-07,13270,18,7272,166,3,13,20742
2021-04-08,13586,19,6980,159,18,14,20776
2021-04-09,20347,21,6320,143,13,13,26857
2021-04-10,17171,14,4243,215,9,21,21673
2021-04-11,14488,12,2934,209,13,17,17673
2021-04-12,12975,19,6540,94,9,7,19644
2021-04-13,11814,21,6835,132,6,5,18813
2021-04-14,13372,16,6679,175,12,17,20271
2021-04-15,14715,14,7197,159,18,16,22119
2021-04-16,20150,15,6011,136,11,21,26344
2021-04-17,15491,12,3529,169,12,16,19229
2021-04-18,15577,13,3186,142,4,18,18940
2021-04-19,14535,20,6878,87,10,6,21536
2021-04-20,12806,18,6947,91,12,16,19890
2021-04-21,14120,21,7703,147,16,15,22022
2021-04-22,15671,19,7047,156,12,11,22916
2021-04-23,28684,21,6210,139,17,21,35092
2021-04-24,23352,12,3635,170,12,33,27214
2021-04-25,19022,14,3574,173,17,15,22815
2021-04-26,16436,18,7081,103,18,11,23667
2021-04-27,16123,17,6102,99,13,7,22361
2021-04-28,16862,18,7853,183,20,14,24950
2021-04-29,22700,22,6618,176,20,20,29556
2021-04-30,30993,17,5282,134,17,27,36470
2021-05-01,21787,13,1699,214,22,26,23761
2021-05-02,17512,16,1765,200,9,19,19521
2021-05-03,19354,18,6158,101,18,16,25665
2021-05-04,17089,19,5916,101,21,10,23156
2021-05-05,17647,16,7288,179,16,17,25163
2021-05-06,18197,19,6576,171,23,25,25011
2021-05-07,26860,20,5828,158,14,23,32903
2021-05-08,27732,16,3930,205,25,41,31949
2021-05-09,23190,11,3055,259,21,27,26563
2021-05-10,18177,21,6828,124,22,22,25194
2021-05-11,18831,16,7674,132,30,14,26697
2021-05-12,28211,24,7237,172,22,26,35692
2021-05-13,28391,18,5884,157,23,19,34492
2021-05-14,26506,16,4726,151,25,18,31442
2021-05-15,27628,16,3303,195,15,23,31180
2021-05-16,33607,15,2974,281,18,31,36926
2021-05-17,21014,16,7136,141,18,16,28341
2021-05-18,18549,15,7518,133,27,22,26264
2021-05-19,19039,16,7605,185,13,13,26871
2021-05-20,23897,13,6621,184,26,35,30776
2021-05-21,37635,21,6094,165,23,37,43975
2021-05-22,38882,16,3692,259,18,50,42917
2021-05-23,27358,10,3312,221,19,22,30942
2021-05-24,26278,16,5659,174,11,32,32170
2021-05-25,20609,18,7352,123,36,28,28166
2021-05-26,21567,18,7609,210,31,40,29475
2021-05-27,23875,18,7379,189,29,45,31535
2021-05-28,35070,21,6629,205,39,51,42015
2021-05-29,34059,16,4293,265,79,51,38763
2021-05-30,28812,13,3063,247,17,35,32187
2021-05-31,21841,20,7124,148,23,36,29192
2021-06-01,22968,19,7313,140,33,45,30518
2021-06-02,32022,18,6857,343,72,62,39374
2021-06-03,41333,17,4851,218,48,74,46541
2021-06-04,38273,23,5988,239,54,48,44625
2021-06-05,39481,18,3789,279,50,77,43694
2021-06-06,37104,15,3216,277,32,66,40710
2021-06-07,26418,20,6886,190,47,42,33603
2021-06-08,22052,18,7826,147,40,49,30132
2021-06-09,25001,19,7359,219,34,55,32687
2021-06-10,30089,20,7110,219,43,56,37537
2021-06-11,45776,18,6501,244,50,83,52672
2021-06-12,39811,14,3899,323,66,95,44208
2021-06-13,35591,15,2740,285,55,77,38763
2021-06-14,31272,17,7064,167,26,52,38598
2021-06-15,27956,18,7744,168,59,49,35994
2021-06-16,29005,15,7885,264,53,46,37268
2021-06-17,35866,21,6931,254,61,90,43223
2021-06-18,53125,17,6229,264,87,72,59794
2021-06-19,54843,15,3990,423,99,143,59513
2021-06-20,51237,10,3231,358,76,74,54986
2021-06-21,34849,20,6464,236,85,61,41715
2021-06-22,29508,24,6053,250,73,67,35975
2021-06-23,38135,21,7645,353,95,66,46315
2021-06-24,58287,18,7065,306,92,92,65860
2021-06-25,60162,14,4804,296,117,122,65515
2021-06-26,59296,17,3646,594,145,153,63851
2021-06-27,58548,10,3019,456,93,113,62239
2021-06-28,41366,19,6557,264,85,73,48364
2021-06-29,33079,20,7320,223,55,77,40774
2021-06-30,40273,19,6753,368,65,79,47557
2021-07-01,54268,19,6739,406,84,131,61647
2021-07-02,66822,21,6044,460,138,114,73599
2021-07-03,70657,19,3566,705,196,222,75365
2021-07-04,69250,14,2914,385,89,138,72790
2021-07-05,48508,24,6805,258,99,121,55815
2021-07-06,36486,19,6793,256,159,102,43815
2021-07-07,37566,25,6915,346,130,130,45112
2021-07-08,49163,15,6117,386,109,82,55872
2021-07-09,64103,20,6244,375,163,162,71067
2021-07-10,80663,17,3693,537,214,201,85325
2021-07-11,63772,17,3817,414,149,156,68325
2021-07-12,55289,22,7406,238,128,114,63197
2021-07-13,44483,21,7331,269,55,104,52263
2021-07-14,49154,23,6942,371,77,113,56680
2021-07-15,53724,17,7815,406,116,126,62204
2021-07-16,77409,21,5917,372,107,139,83965
2021-07-17,88593,21,3602,575,86,188,93065
2021-07-18,72744,17,2874,448,164,163,76410
2021-07-19,72236,18,6025,264,189,137,78869
2021-07-20,52471,20,6609,223,189,132,59644
2021-07-21,54179,20,7139,393,137,133,62001
2021-07-22,59829,15,6509,378,126,164,67021
2021-07-23,85623,23,5842,471,216,183,92358
2021-07-24,104164,19,3899,545,273,231,109131
2021-07-25,87703,11,2738,3798,93,202,94545
2021-07-26,68192,15,6339,258,89,114,75007
2021-07-27,57327,16,6583,317,99,138,64480
2021-07-28,54000,21,7182,402,168,126,61899
2021-07-29,68655,23,6366,382,171,168,75765
2021-07-30,98000,16,5586,475,234,181,104492
2021-07-31,129844,12,3601,675,430,279,134841
2021-08-01,112605,11,3417,586,131,192,116942
2021-08-02,83037,19,6612,294,268,167,90397
2021-08-03,61608,24,6976,254,239,114,69215
2021-08-04,62555,16,6875,369,143,153,70111
2021-08-05,71466,18,5611,387,95,129,77706
2021-08-06,99559,16,5874,569,297,191,106506
2021-08-07,114238,16,2757,585,524,203,118323
2021-08-08,103361,13,2760,533,203,216,107086
2021-08-09,88512,20,6472,292,375,125,95796
2021-08-10,72179,16,7465,312,342,175,80489
2021-08-11,66871,21,6534,345,177,147,74095
2021-08-12,80024,25,6109,474,168,215,87015
2021-08-13,96905,22,5759,394,192,156,103428
2021-08-14,122516,16,2466,649,253,304,126204
2021-08-15,99449,17,2276,507,213,203,102665
2021-08-16,88525,19,6186,358,146,148,95382
2021-08-17,64183,22,6681,354,74,133,71447
2021-08-18,68478,19,6528,405,79,143,75652
2021-08-19,75444,21,5886,382,156,170,82059
2021-08-20,90670,20,5441,479,143,238,96991
2021-08-21,108276,15,3745,703,125,236,113100
2021-08-22,97309,13,2587,649,113,214,100885
2021-08-23,77583,18,6197,342,67,101,84308
2021-08-24,61470,19,7816,311,91,143,69850
2021-08-25,59720,22,6806,384,42,150,67124
2021-08-26,68550,22,6635,413,79,167,75866
2021-08-27,79762,19,6036,441,63,126,86447
2021-08-28,84657,13,2804,571,58,196,88299
2021-08-29,73992,15,3086,460,78,171,77802
2021-08-30,62804,18,6918,311,100,133,70284
2021-08-31,50625,21,7106,291,59,142,58244
2021-09-01,51576,23,7191,364,66,156,59376
2021-09-02,53079,11,6814,368,72,145,60489
2021-09-03,69845,18,6303,398,82,178,76824
2021-09-04,68414,16,3181,523,110,195,72439
2021-09-05,66991,10,2796,467,58,186,70508
2021-09-06,50973,18,7048,290,59,88,58476
2021-09-07,41651,17,7361,308,65,129,49531
2021-09-08,40398,20,6962,354,48,98,47880
2021-09-09,46680,15,6856,363,79,145,54138
2021-09-10,61574,15,6571,393,93,146,68792
2021-09-11,64092,13,3695,588,75,227,68690
2021-09-12,56214,15,3256,422,52,138,60097
2021-09-13,41275,20,6679,289,49,118,48430
2021-09-14,33778,16,7742,260,38,92,41926
2021-09-15,36729,22,7313,382,38,109,44593
2021-09-16,35918,19,6980,337,43,101,43398
2021-09-17,46019,21,6325,401,32,110,52908
2021-09-18,45452,18,3484,450,38,194,49636
2021-09-19,45859,15,2967,413,40,142,49436
2021-09-20,34553,21,7055,289,29,91,42038
2021-09-21,29418,20,7405,303,37,104,37287
2021-09-22,29764,19,7642,345,36,96,37902
2021-09-23,34910,16,7472,363,33,130,42924
2021-09-24,46832,20,6125,325,45,123,53470
2021-09-25,44271,10,3367,508,48,196,48400
2021-09-26,39391,15,3100,400,31,133,43070
2021-09-27,29975,12,6921,248,35,102,37293
2021-09-28,26034,18,7322,257,26,101,33758
2021-09-29,26503,17,7427,342,13,89,34391
2021-09-30,28904,19,7520,348,19,87,36897
2021-10-01,42395,15,7145,305,44,107,50011
2021-10-02,38905,12,3901,411,22,141,43392
2021-10-03,34547,11,2980,374,21,112,38045
2021-10-04,27646,17,7753,226,19,53,35714
2021-10-05,22921,15,7644,231,18,71,30900
2021-10-06,23044,23,7623,297,22,56,31065
2021-10-07,25155,17,7019,353,12,64,32620
2021-10-08,36466,21,5964,306,14,69,42840
2021-10-09,34430,17,3665,403,13,122,38650
2021-10-10,31389,10,2971,542,6,85,35003
2021-10-11,25058,16,6628,237,21,71,32031
2021-10-12,23012,15,7272,244,28,57,30628
2021-10-13,752368,12,299216,9044,14,55,1060709
2021-10-14,821355,18,325100,9846,17,60,1156396
2021-10-15,38505,14,6570,312,35,84,45520
2021-10-16,34363,10,3555,388,25,110,38451
2021-10-17,34256,9,2752,336,25,84,37462
2021-10-18,25444,14,7038,227,33,66,32822
2021-10-19,22161,13,7724,229,21,71,30219
2021-10-20,24062,16,7332,281,23,56,31770
2021-10-21,26936,14,7451,274,20,57,34752
2021-10-22,43529,15,6407,341,17,54,50363
2021-10-23,39279,13,3954,464,15,110,43835
2021-10-24,34434,12,2995,320,15,75,37851
2021-10-25,28505,17,7081,228,20,55,35906
2021-10-26,28824,18,7135,219,18,56,36270
2021-10-27,29109,15,7972,279,14,52,37441
2021-10-28,31500,18,7541,304,23,56,39442
2021-10-29,46677,18,6829,291,21,57,53893
2021-10-30,39552,12,3949,362,20,64,43959
2021-10-31,32685,10,1806,258,11,33,34803
2021-11-01,36296,16,3432,229,9,13,39995
2021-11-02,28895,18,7243,210,9,23,36398
2021-11-03,21296,17,7520,263,12,15,29123
2021-11-04,22619,19,7582,279,14,10,30523
2021-11-05,27953,16,6425,282,14,19,34709
2021-11-06,26623,12,3893,321,10,35,30894
2021-11-07,25308,11,3076,308,11,19,28733
2021-11-08,19875,19,7109,171,9,12,27195
2021-11-09,17516,16,6981,179,9,11,24712
2021-11-10,20526,16,6608,253,15,19,27437
2021-11-11,23638,20,7140,246,16,14,31074
2021-11-12,29115,16,6970,234,14,12,36361
2021-11-13,22793,11,3420,325,16,17,26582
2021-11-14,26266,10,2846,282,10,17,29431
2021-11-15,19627,19,6668,171,9,14,26508
2021-11-16,18248,16,7476,174,6,13,25933
2021-11-17,20196,13,7367,245,7,13,27841
2021-11-18,20562,16,6016,233,10,16,26853
2021-11-19,30853,17,6476,219,16,15,37596
2021-11-20,24394,9,3511,294,6,12,28226
2021-11-21,26093,10,3020,276,4,10,29413
2021-11-22,21889,15,6224,170,10,14,28322
2021-11-23,18261,15,7211,170,7,5,25669
2021-11-24,19540,10,7409,216,13,14,27202
2021-11-25,23223,20,6764,268,9,10,30294
2021-11-26,26081,15,6151,221,12,6,32486
2021-11-27,19117,11,3214,306,4,11,22663
2021-11-28,23637,9,2993,247,8,10,26904
2021-11-29,19168,16,6914,154,7,11,26270
2021-11-30,17488,16,7157,156,18,11,24846
2021-12-01,18089,17,7368,229,5,15,25723
2021-12-02,18231,15,6696,213,7,12,25174
2021-12-03,26056,15,5673,219,11,9,31983
2021-12-04,21078,6,3602,329,11,17,25043
2021-12-05,19869,9,2831,243,7,15,22974
2021-12-06,17949,12,6611,159,6,14,24751
2021-12-07,18598,13,7758,157,5,8,26539
2021-12-08,18926,16,6953,218,10,19,26142
2021-12-09,16858,16,5485,229,7,16,22611
2021-12-10,24998,14,5862,197,6,10,31087
2021-12-11,21901,10,3453,334,8,14,25720
2021-12-12,22191,7,2719,257,2,14,25190
2021-12-13,17320,17,6380,171,10,12,23910
2021-12-14,18015,16,7793,155,6,9,25994
2021-12-15,20610,22,7095,259,6,12,28004
2021-12-16,23742,15,6650,247,11,13,30678
2021-12-17,32174,16,6335,262,5,17,38809
2021-12-18,33924,8,3607,423,5,17,37984
2021-12-19,26908,13,3212,320,4,16,30473
2021-12-20,23965,15,8041,212,10,14,32257
2021-12-21,25046,18,7131,241,11,14,32461
2021-12-22,36490,20,6585,410,15,16,43536
2021-12-23,48786,23,5840,373,14,13,55049
2021-12-24,51962,16,3392,388,6,12,55776
2021-12-25,26936,9,994,343,6,7,28295
2021-12-26,26598,9,2093,341,7,17,29065
2021-12-27,27629,20,5075,188,16,13,32941
2021-12-28,28445,14,3745,206,7,17,32434
2021-12-29,30152,18,3469,339,7,19,34004
2021-12-30,41254,16,2652,315,11,19,44267
2021-12-31,28582,18,1031,170,4,13,29818
2022-01-01,27573,8,488,171,4,14,28258
2022-01-02,37373,16,1563,331,4,18,39305
2022-01-03,31611,24,3719,208,6,16,35584
2022-01-04,27699,15,3937,199,9,12,31871
2022-01-05,31556,13,3062,289,10,13,34943
2022-01-06,29930,17,1939,279,3,13,32181
2022-01-07,35468,16,2890,245,11,15,38645
2022-01-08,45904,8,2398,374,5,15,48704
2022-01-09,44924,5,2724,461,4,19,48137
2022-01-10,28033,17,5223,317,7,13,33610
2022-01-11,18850,14,6649,216,9,7,25745
2022-01-12,18237,14,6345,257,7,10,24870
2022-01-13,19345,14,6241,249,5,8,25862
2022-01-14,27016,13,5253,216,11,14,32523
2022-01-15,23929,8,2817,292,8,13,27067
2022-01-16,22942,8,3049,305,6,12,26322
2022-01-17,19324,16,6425,163,14,12,25954
2022-01-18,17078,18,6036,172,15,6,23325
2022-01-19,17387,12,6816,238,13,7,24473
2022-01-20,18198,11,6435,219,8,10,24881
2022-01-21,24393,14,5113,211,12,10,29753
2022-01-22,21863,7,2603,283,4,13,24773
2022-01-23,21945,8,3081,257,5,12,25308
2022-01-24,17663,13,6386,160,10,9,24241
2022-01-25,16126,16,6966,158,5,7,23278
2022-01-26,16724,12,6343,242,10,10,23341
2022-01-27,17963,18,6803,215,11,9,25019
2022-01-28,25038,16,5467,216,14,8,30759
2022-01-29,21143,10,2652,269,5,13,24092
2022-01-30,22413,9,2969,251,2,14,25658
2022-01-31,17740,19,6961,162,11,9,24902
2022-02-01,16584,15,6437,168,6,4,23214
2022-02-02,17245,14,6362,236,9,11,23877
2022-02-03,19727,18,7072,229,8,15,27069
2022-02-04,28616,14,4920,200,12,18,33780
2022-02-05,26926,9,4442,276,10,11,31674
2022-02-06,23716,9,3000,233,12,16,26986
2022-02-07,20750,17,6838,155,2,12,27774
2022-02-08,22927,11,4937,160,9,11,28055
2022-02-09,19593,13,7745,218,14,9,27592
2022-02-10,21781,16,6807,221,8,17,28850
2022-02-11,28295,13,6023,217,13,14,34575
2022-02-12,27013,8,3270,287,5,13,30596
2022-02-13,26765,7,3228,273,9,19,30301
2022-02-14,21051,12,6188,156,3,10,27420
2022-02-15,19248,18,6581,154,2,11,26014
2022-02-16,19562,13,6658,215,17,11,26476
2022-02-17,23708,15,7042,227,8,10,31010
2022-02-18,33244,14,5430,209,14,16,38927
2022-02-19,28157,8,2931,288,5,16,31405
2022-02-20,31483,7,3018,261,5,12,34786
2022-02-21,22698,14,6882,172,7,11,29784
2022-02-22,20387,15,6856,180,11,8,27457
2022-02-23,23553,16,7577,277,5,15,31443
2022-02-24,26172,18,7151,260,7,18,33626
2022-02-25,34459,17,6253,219,9,15,40972
2022-02-26,32860,7,3191,318,2,12,36390
2022-02-27,32560,11,2926,298,2,16,35813
